DateTime,AddedIPs,RemovedIPs
1516626520,11,1
1516630146,1,2
1516637341,1,1
1516640927,1,13
1516644553,4,3
1516648136,11,3
1516651731,5,7
1516655342,2,2
1516658921,7,0
1516662575,1,4
1516666170,0,2
1516669714,4,1
1516673322,1,3
1516676913,3,2
1516680509,3,4
1516684107,4,3
1516687706,1,1
1516691314,1,8
1516694902,3,9
1516698503,5,12
1516702123,5,3
1516705708,2,4
1516709321,8,4
1516712915,9,5
1516716529,8,2
1516720089,1,3
1516723696,5,7
1516727308,8,4
1516730897,2,9
1516734511,10,0
1516738115,2,4
1516741715,3,3
1516745334,4,1
1516748904,0,2
1516752527,2,9
1516756108,2,6
1516759706,11,23
1516763305,10,4
1516766894,2,2
1516770507,15,0
1516774122,2,4
1516777705,6,3
1516781339,1,0
1516784918,1,9
1516788520,14,1
1516792107,1,0
1516795713,2,3
1516799307,1,1
1516802898,0,9
1516806524,1,6
1516810113,9,1
1516813700,6,1
1516817309,5,0
1516820909,0,2
1516824515,0,4
1516828111,1,5
1516831739,3,10
1516835322,6,4
1516838967,5,2
1516842521,11,1
1516846152,1,0
1516853354,2,5
1516856927,2,6
1516860516,8,2
1516864110,2,2
1516867758,1,3
1516871338,1,6
1516874909,2,10
1516882133,4,6
1516885722,1,2
1516889313,10,8
1516892938,7,0
1516896509,5,0
1516900111,2,0
1516903760,2,3
1516907320,3,2
1516910937,0,6
1516914520,5,3
1516918133,2,3
1516921711,4,6
1516925350,3,0
1516928939,5,3
1516932534,0,2
1516936124,4,1
1516939689,2,2
1516943344,1,12
1516946911,4,2
1516950511,4,2
1516954108,2,2
1516957724,11,0
1516961321,1,3
1516964938,0,1
1516968510,1,4
1516972115,5,3
1516975737,3,5
1516979301,6,1
1516982904,0,1
1516986518,1,0
1516990117,1,1
1516993716,0,5
1516997312,1,2
1517000916,2,1
1517004491,1,11
1517008102,7,5
1517011750,14,0
1517015319,1,0
1517018922,1,0
1517022533,0,2
1517026143,1,12
1517029715,6,5
1517033317,2,4
1517036921,3,1
1517040537,0,8
1517044176,14,1
1517047720,0,2
1517051331,1,3
1517054917,2,0
1517058536,4,6
1517062104,3,1
1517065731,5,0
1517069292,1,1
1517072907,1,7
1517076517,1,5
1517080124,6,5
1517083736,8,0
1517087324,3,0
1517090920,1,1
1517094495,1,1
1517098149,2,3
1517101763,3,2
1517105303,3,1
1517108918,0,2
1517112541,0,5
1517116123,4,1
1517119727,1,0
1517123320,2,0
1517126922,0,4
1517130514,3,5
1517134122,2,0
1517137723,0,1
1517141340,2,0
1517144910,2,10
1517148523,5,18
1517152108,19,3
1517155702,4,3
1517159335,2,1
1517162916,5,2
1517166534,1,5
1517170131,4,3
1517173730,3,0
1517177295,2,2
1517184594,3,1
1517188198,2,0
1517191762,0,4
1517195336,2,1
1517198969,2,4
1517202550,4,5
1517206132,1,2
1517209757,2,4
1517213359,2,3
1517216978,7,12
1517220556,2,4
1517224145,13,3
1517227748,6,5
1517231364,1,4
1517234972,8,1
1517238553,2,2
1517242161,3,1
1517245774,1,2
1517249353,3,6
1517252949,3,4
1517256550,1,4
1517260173,3,4
1517263758,4,6
1517267346,7,6
1517270981,7,0
1517274543,0,7
1517278161,11,1
1517281777,2,2
1517285332,0,1
1517292584,0,7
1517296154,2,3
1517299737,6,0
1517303341,0,7
1517306943,2,13
1517310534,9,5
1517314256,16,6
1517317742,2,9
1517321369,6,3
1517324951,1,1
1517328555,0,1
1517332149,0,2
1517335735,4,15
1517339342,13,3
1517342938,1,0
1517346543,2,1
1517350171,4,2
1517353772,2,13
1517357395,12,2
1517360942,3,4
1517364536,10,4
1517368142,4,4
1517371756,0,6
1517375334,4,1
1517378937,3,11
1517382531,12,1
1517386157,2,0
1517389752,1,0
1517393312,0,1
1517396914,2,4
1517400545,3,5
1517404133,0,3
1517407747,1,6
1517411328,3,14
1517414958,3,14
1517418547,21,1
1517422131,9,2
1517425735,2,3
1517429329,7,1
1517432953,1,4
1517440155,2,12
1517443806,7,3
1517447367,6,3
1517450952,2,3
1517454548,5,3
1517458157,7,5
1517461768,6,5
1517465335,0,3
1517468939,4,0
1517472550,2,4
1517476144,2,14
1517479754,12,1
1517501343,2,12
1517504965,3,6
1517508536,8,6
1517512162,5,10
1517515750,23,0
1517544559,1,0
1517548147,0,3
1517558953,1,7
1517562542,6,3
1517569770,5,3
1517573348,2,2
1517602127,1,1
1517605718,0,9
1517609352,11,6
1517656236,9,1
1517681334,1,0
1517695763,1,2
1517706622,1,17
1517710109,4,9
1517720916,11,3
1517724509,4,4
1517749738,4,4
1517760538,5,13
1517771439,3,7
1517774982,18,5
1517778521,7,3
1517785779,5,1
1517789382,3,1
1517793030,2,0
1517803760,3,1
1517850523,0,4
1517854163,2,18
1517857757,12,7
1517872245,2,5
1517875799,4,1
1517879360,12,0
1517883036,1,2
1517890280,0,3
1517893773,3,0
1517900985,0,1
1517904598,0,2
1517908191,1,0
1517911733,1,4
1517922533,1,5
1517926139,2,3
1517929719,6,3
1517933326,3,9
1517936926,1,1
1517940533,3,3
1517944115,6,27
1517947733,9,6
1517951324,14,4
1517954927,9,1
1517958522,6,2
1517962145,6,4
1517965718,5,0
1517969318,2,2
1517972925,0,2
1517976533,3,7
1517980116,5,14
1517983735,15,7
1517987293,9,0
1517990930,0,1
1517994516,0,4
1517998115,5,4
1518001738,1,4
