DateTime,AddedIPs,RemovedIPs
1516649043,106,103
1516654814,192,191
1516660803,77,117
1516664643,102,147
1516668483,205,168
1516674246,101,103
1516681926,68,117
1516683844,189,232
1516687684,102,101
1516693686,205,161
1516703285,166,129
1516709045,147,131
1516712885,89,89
1516716726,111,96
1516722483,109,81
1516726323,92,85
1516730884,175,178
1516738565,198,162
1516742405,90,127
1516746243,165,229
1516752243,91,133
1516758244,234,193
1516765923,184,226
1516773845,208,216
1516779844,124,89
1516786084,149,158
1516789924,94,81
1516793763,169,130
1516803604,179,153
1516809364,160,160
1516817283,178,163
1516821123,101,96
1516824963,108,108
1516830723,171,200
1516837203,153,212
1516846803,225,189
1516852565,176,207
1516856413,111,125
1516862163,95,112
1516864084,138,84
1516871764,173,139
1516875606,79,86
1516881364,92,82
1516887125,161,146
1516894805,155,168
1516898645,169,165
1516904403,106,90
1516908244,114,108
1516914020,203,181
1516922165,138,220
1516930086,197,199
1516935843,195,187
1516943524,189,220
1516947364,101,102
1516951203,113,101
1516955044,109,78
1516961763,175,137
1516967764,163,151
1516972563,90,84
1516978563,176,168
1516984323,165,164
1516990323,106,112
1516996083,109,105
1517001843,164,183
1517005922,88,112
1517010963,108,111
1517013124,185,197
1517022966,160,209
1517028964,206,215
1517034723,196,192
1517042644,159,134
1517050324,114,75
1517052244,103,82
1517056084,93,80
1517059925,114,113
1517065683,150,177
1517073843,172,163
1517077684,101,88
1517083683,183,182
1517091364,148,183
1517099043,144,208
1517101216,145,115
1517106964,100,110
1517112724,166,211
1517116565,96,151
1517122325,111,113
1517124244,132,93
1517128084,78,79
1517133844,183,133
1517139603,187,137
1517145364,108,103
1517149203,101,99
1517154964,179,189
1517162645,215,161
1517166484,111,126
1517172244,185,183
1517178003,88,113
1517184966,155,215
1517190963,199,203
1517198642,165,216
1517204405,124,132
1517208483,205,173
1517214243,89,74
1517218083,86,93
1517222162,95,74
1517228163,174,125
1517232003,93,90
1517239682,151,137
1517246404,150,151
1517252164,186,157
1517256013,113,113
1517259844,97,103
1517263683,93,122
1517271847,163,220
1517277617,220,198
1517285284,154,203
1517291045,118,148
1517294889,205,179
1517302565,170,140
1517308566,90,84
1517314815,167,138
1517320564,170,164
1517324415,108,88
1517330404,162,161
1517336165,101,104
1517340005,126,98
1517345764,114,110
1517349845,140,184
1517355843,164,210
1517363523,211,227
1517369284,70,115
1517372162,98,109
1517376002,121,125
1517381763,204,176
1517387762,89,86
1517391602,107,88
1517393764,104,92
1517399524,96,89
1517403363,179,150
1517409365,175,189
1517415123,113,97
1517420884,103,93
1517422804,105,104
1517426644,108,98
1517432416,110,121
1517434324,181,214
1517443925,155,205
1517449684,316,190
1517459285,157,189
1517463127,114,138
1517468884,253,190
1517476565,184,139
1517482325,91,90
1517487125,178,151
1517493124,156,151
1517498885,78,109
1517502965,99,90
1517508723,190,142
1517512564,106,99
1517516403,139,109
1517524084,150,202
1517526964,105,109
1517532723,194,215
1517538484,143,108
1517544483,159,218
1517550243,113,134
1517554083,194,195
1517561763,162,131
1517569684,165,149
1517577365,101,87
1517581203,175,156
1517585043,84,107
1517589124,99,91
1517595125,188,167
1517600883,188,168
1517608563,89,103
1517613363,165,196
1517619365,81,131
1517623445,238,172
1517629444,68,95
1517635206,175,253
1517639046,95,99
1517644816,188,137
1517650565,90,74
1517656563,117,74
1517658486,171,134
1517664963,101,88
1517668804,116,105
1517672884,119,103
1517676723,108,103
1517682484,184,167
1517686563,113,100
1517690643,146,203
1517700724,163,184
1517704563,81,104
1517710564,211,186
1517716322,70,100
1517718243,95,115
1517722085,113,158
1517728083,192,165
1517735764,131,143
1517741763,202,122
1517749444,167,164
1517757123,187,145
1517760964,107,85
1517770564,186,177
1517774412,173,163
1517782083,167,202
1517788085,156,207
1517793844,128,140
1517797924,111,117
1517801764,78,85
1517805605,81,143
1517811364,192,215
1517815443,131,77
1517819524,91,94
1517823364,93,83
1517827445,101,87
1517829607,79,87
1517833453,85,83
1517837287,93,105
1517841125,114,92
1517846884,150,149
1517854803,130,84
1517856965,94,108
1517858884,212,177
1517868726,182,193
1517876407,92,137
1517878324,208,195
1517884088,107,113
1517887925,136,168
1517895606,197,233
1517903284,176,144
1517910965,153,118
1517916724,85,67
1517920564,104,82
1517924403,77,95
1517930166,176,131
1517938085,164,141
1517943843,109,116
1517945767,99,105
1517949607,105,86
1517955364,170,203
1517961125,92,109
1517964965,173,189
1517972646,132,194
1517978644,109,114
1517984404,199,231
1517988244,110,76
1517994243,102,86
1517998085,160,131
